"usda_symbol","scientific_name","common_name","family","genus","usda_group"
"ABAB","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","shrubby Indian mallow",,"Abutilon","Dicot"
"ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Pacific silver fir",,"Abies","Gymnosperm"
"ABBA","Abies balsamea (L.) Mill.","balsam fir",,"Abies","Gymnosperm"
"ABEL","Abronia elliptica A. Nelson","fragrant white sand verbena",,"Abronia","Dicot"
"ABGR","Abies grandis (Douglas ex D. Don) Lindl.","grand fir",,"Abies","Gymnosperm"
"ABHU","Abutilon hulseanum (Torr. & A. Gray) Torr. ex A. Gray","mauve",,"Abutilon","Dicot"
"ABINA","Abutilon indicum (L.) Sweet ssp. albescens (Miq.) Borss. Waalk.",,,"Abutilon","Dicot"
"ABLAA","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","corkbark fir",,"Abies","Gymnosperm"
"ABMA2","Abronia maritima Nutt. ex S. Watson","red sand verbena",,"Abronia","Dicot"
"ABPA3","Abutilon parvulum A. Gray","dwarf Indian mallow",,"Abutilon","Dicot"
"ABPR3","Abrus precatorius L.","rosarypea",,"Abrus","Dicot"
"ABROM","Abroma Jacq.",,,"Abroma","Dicot"
"ABSA2","Abutilon sandwicense (O. Deg.) Christoph.","greenflower Indian mallow",,"Abutilon","Dicot"
"ABSP","Absconditella sphagnorum Vezda & Poelt","sphagnum absonditella lichen",,"Absconditella","Lichen"
"ABTH","Abutilon theophrasti Medik.","velvetleaf",,"Abutilon","Dicot"
"ABUMB","Abronia umbellata Lam. ssp. breviflora (Standl.) Munz","pink sand verbena",,"Abronia","Dicot"
"ABUMU","Abronia umbellata Lam. ssp. umbellata ","pink sand verbena",,"Abronia","Dicot"
"ACAC7","Acacia acinacea Lindl.","gold-dust acacia",,"Acacia","Dicot"
"ACAC9","Acacia aculeatissima J.F. Macbr.",,,"Acacia","Dicot"
"ACALY","Acalypha L.","copperleaf",,"Acalypha","Dicot"
"ACAMP","Acamptopappus (A. Gray) A. Gray","goldenhead",,"Acamptopappus","Dicot"
"ACAN2","Acleisanthes anisophylla A. Gray","obliqueleaf trumpets",,"Acleisanthes","Dicot"
"ACANT7","Acanthus L.","acanthus",,"Acanthus","Dicot"
"ACAP","Acarospora applanata H. Magn.","cracked lichen",,"Acarospora","Lichen"
"ACAR9","Acarospora arenosa Herre","cracked lichen",,"Acarospora","Lichen"
"ACCA34","Achnatherum capense (Thunb.) P. Beauv.","Cape ricegrass",,"Achnatherum","Monocot"
"ACCO22","Achnatherum contractum (B.L. Johnson) Barkworth","contracted ricegrass",,"Achnatherum","Monocot"
"ACDA","Acrostichum danaeifolium Langsd. & Fisch.","inland leatherfern",,"Acrostichum","Fern"
"ACDU2","Acanthomintha duttonii (Abrams) Jokerst","San Mateo thorn-mint",,"Acanthomintha","Dicot"
"ACGE5","Acrocordia gemmata (Ach.) A. Massal.","acrocordia lichen",,"Acrocordia","Lichen"
"ACGLD3","Acer glabrum Torr. var. diffusum (Greene) Smiley","Rocky Mountain maple",,"Acer","Dicot"
"ACGLD4","Acer glabrum Torr. var. douglasii (Hook.) Dippel","Douglas maple",,"Acer","Dicot"
