"usda_symbol","duration","growth_habit","native_status","usda_group","soil_ph_min","soil_ph_max","soil_texture_adapted","precip_min_in","precip_max_in","temp_min_f","moisture_use","shade_tolerance","drought_tolerance","salinity_tolerance","caco3_tolerance","fire_tolerance","anaerobic_tolerance","nitrogen_fixation","root_depth_min_in","height_mature_ft","growth_rate","lifespan","leaf_retention","bloom_period","foliage_color","flower_color"
"ABAB","Perennial","Forb/herb, Subshrub","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABAM","Perennial","Tree","N","Gymnosperm",3.3,6,"Coarse, Medium, Fine",38,260,-28,"Medium","Tolerant","Low","None","Low","None","None","None",36,165,"Slow","Long","Yes","Late Spring","Gray-Green","Yellow"
"ABBA","Perennial","Tree","N","Gymnosperm",4,6,"Coarse, Medium, Fine",13,60,-43,"Medium","Tolerant","Low","None","Low","Low","None","None",20,60,"Slow","Short","Yes","Mid Summer","Green","Yellow"
"ABEL","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABGR","Perennial","Tree","N","Gymnosperm",4.5,7.5,"Coarse, Medium",11,100,-33,"Medium","Tolerant","Medium","None","Low","High","Low","None",20,150,"Moderate","Long","Yes","Late Spring","Green",
"ABHU","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABINA","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABLAA","Perennial","Tree","N","Gymnosperm",,,,,,,,,,,,,,,,,,,,,,
"ABMA2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABPA3","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABPR3","Perennial","Vine","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABROM","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABSA2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABSP",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"ABTH","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABUMB","Perennial","Forb/herb, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ABUMU","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACAC7",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACAC9",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"ACALY","Annual, Perennial","Forb/herb, Shrub, Subshrub","I, N, I?","Dicot",,,,,,,,,,,,,,,,,,,,,,
