"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"NAAM","Abama americana","","","",""
"NAAM","Abama montana Small","","","",""
"ABELI","Abelia R. Br.","","","",""
"ABGR4","Abelia Ã—grandiflora","","","",""
"ABELM","Abelmoschus Medik.","","","",""
"ABES","Abelmoschus esculentus","","","",""
"ABMA9","Abelmoschus manihot","","","",""
"ABMO","Abelmoschus moschatus Medik.","","","",""
"DOCA3","Aberia caffra Hook. f. & Harv.","","","",""
"DOHE2","Aberia gardneri D. Clos","","","",""
"ABIES","Abies Mill.","","","",""
"ABAL3","Abies alba Mill.","","","",""
"ABAM","Abies amabilis","","","",""
"ABLAA","Abies arizonica Merriam","","","",""
"ABLAL","Abies balsamea","","","",""
"ABBAB","Abies balsamea","","","",""
"ABLAL","Abies balsamea","","","",""
"ABBAP","Abies balsamea","","","",""
"ABBA","Abies balsamea","","","",""
"ABLAL","Abies bifolia A. Murray bis","","","",""
"ABBR","Abies bracteata","","","",""
"ABCO","Abies concolor","","","",""
"ABLO","Abies concolor","","","",""
"ABCO","Abies concolor","","","",""
"ABFI","Abies firma Siebold & Zucc.","","","",""
"ABFR","Abies fraseri","","","",""
"ABGR","Abies grandis","","","",""
"ABGR","Abies grandis","","","",""
"ABGR","Abies grandis","","","",""
"ABGR","Abies grandis","","","",""
"ABGR","Abies grandis","","","",""
"ABGU","Abies guatemalensis Rehder","","","",""
"ABHO","Abies homolepis Siebold & Zucc.","","","",""
"ABLAL","Abies lasiocarpa","","","",""
"ABLA","Abies lasiocarpa","","","",""
"ABLAA","Abies lasiocarpa","","","",""
"ABLAL","Abies lasiocarpa","","","",""
"ABLAL","Abies lasiocarpa","","","",""
"ABLO","Abies lowiana","","","",""
"ABMA","Abies magnifica A. Murray bis","","","",""
"ABMAS","Abies magnifica A. Murray bis ssp. shastensis","","","",""
"ABMAS","Abies magnifica A. Murray bis var. critchfieldii Lanner","","","",""
"ABMAM","Abies magnifica A. Murray bis var. magnifica","","","",""
"ABMAS","Abies magnifica A. Murray bis var. shastensis Lemmon","","","",""
"ABPR","Abies nobilis","","","",""
"ABPR","Abies procera Rehder","","","",""
"ABLAL","Abies subalpina Engelmann","","","",""
"ABVE2","Abies veitchii Lindl.","","","",""
"ABBR","Abies venusta","","","",""
