analyte,rating,relative_test_index,ppm_in_soil,toxic_flag,source,extract_drops,notes
nitrate_n,Very Low,1,1,FALSE,Bugbee 2026 email,3,
nitrate_n,Low,2,3,FALSE,Bugbee 2026 email,3,
nitrate_n,Medium Low,3,4,FALSE,Bugbee 2026 email,3,
nitrate_n,Medium,4,6,FALSE,Bugbee 2026 email,3,
nitrate_n,Medium High,6,12,FALSE,Bugbee 2026 email,3,
nitrate_n,High,8,25,FALSE,Bugbee 2026 email,3,
nitrate_n,Very High,10,50,FALSE,Bugbee 2026 email,3,
ammonia_n,Very Low,1,6,FALSE,Bugbee 2026 email,4,
ammonia_n,Low,2,12,FALSE,Bugbee 2026 email,4,
ammonia_n,Medium Low,3,25,FALSE,Bugbee 2026 email,4,
ammonia_n,Medium,4,35,FALSE,Bugbee 2026 email,4,
ammonia_n,Medium High,6,40,FALSE,Bugbee 2026 email,4,
ammonia_n,High,8,80,FALSE,Bugbee 2026 email,4,
ammonia_n,Very High,10,160,FALSE,Bugbee 2026 email,4,Bulletin 541 (1958 reprint) listed 280 ppm as toxic; CAES now uses 160 for VH
phosphorus,Very Low,1,6,FALSE,Bugbee 2026 email,10,
phosphorus,Low,2,12,FALSE,Bugbee 2026 email,10,
phosphorus,Medium Low,3,18,FALSE,Bugbee 2026 email,10,
phosphorus,Medium,4,25,FALSE,Bugbee 2026 email,10,
phosphorus,Medium High,6,50,FALSE,Bugbee 2026 email,10,
phosphorus,High,8,100,FALSE,Bugbee 2026 email,10,
phosphorus,Very High,10,200,FALSE,Bugbee 2026 email,10,
potassium,Very Low,1,30,FALSE,Bugbee 2026 email,10,
potassium,Low,2,60,FALSE,Bugbee 2026 email,10,
potassium,Medium Low,3,90,FALSE,Bugbee 2026 email,10,
potassium,Medium,4,120,FALSE,Bugbee 2026 email,10,
potassium,Medium High,6,180,FALSE,Bugbee 2026 email,10,
potassium,High,8,240,FALSE,Bugbee 2026 email,10,
potassium,Very High,10,360,FALSE,Bugbee 2026 email,10,
calcium,Very Low,1,250,FALSE,Bugbee 2026 email,10,
calcium,Low,2,500,FALSE,Bugbee 2026 email,10,
calcium,Medium Low,3,700,FALSE,Bugbee 2026 email,10,
calcium,Medium,4,900,FALSE,Bugbee 2026 email,10,
calcium,Medium High,6,1200,FALSE,Bugbee 2026 email,10,
calcium,High,8,1600,FALSE,Bugbee 2026 email,10,
calcium,Very High,10,2400,FALSE,Bugbee 2026 email,10,
magnesium,Very Low,1,5,FALSE,Bugbee 2026 email,10,
magnesium,Low,2,10,FALSE,Bugbee 2026 email,10,
magnesium,Medium Low,3,18,FALSE,Bugbee 2026 email,10,
magnesium,Medium,4,25,FALSE,Bugbee 2026 email,10,
magnesium,Medium High,6,50,FALSE,Bugbee 2026 email,10,
magnesium,High,8,125,FALSE,Bugbee 2026 email,10,
magnesium,Very High,10,190,FALSE,Bugbee 2026 email,10,
