scientific_name,state_code,native_status
Dicliptera brachiata,AL,Native
Dyschoriste oblongifolia,AL,Native
Hygrophila lacustris,AL,Native
Justicia americana,AL,Native
Justicia lanceolata,AL,Native
Justicia ovata,AL,Native
Ruellia caroliniensis,AL,Native
Ruellia humilis,AL,Native
Ruellia noctiflora,AL,Native
Ruellia nudiflora,AL,Native
Ruellia pedunculata,AL,Native
Ruellia purshiana,AL,Native
Ruellia strepens,AL,Native
Ruellia yucatana,AL,Native
Yeatesia viridiflora,AL,Native
Viburnum acerifolium,AL,Native
Viburnum bracteatum,AL,Native
Viburnum dentatum,AL,Native
Viburnum molle,AL,Native
Viburnum nudum,AL,Native
Viburnum obovatum,AL,Native
Viburnum prunifolium,AL,Native
Viburnum rafinesquianum,AL,Native
Viburnum recognitum,AL,Native
Viburnum rufidulum,AL,Native
Camassia scilloides,AL,Native
Manfreda virginica,AL,Native
Schoenolirion albiflorum,AL,Native
Schoenolirion croceum,AL,Native
Schoenolirion wrightii,AL,Native
Yucca aloifolia,AL,Native
Yucca filamentosa,AL,Native
Yucca flaccida,AL,Native
Yucca gloriosa,AL,Native
Sesuvium maritimum,AL,Native
Sesuvium portulacastrum,AL,Native
Trianthema portulacastrum,AL,Native
Alisma subcordatum,AL,Native
Echinodorus cordifolius,AL,Native
Helanthium tenellum,AL,Native
Sagittaria australis,AL,Native
Sagittaria brevirostra,AL,Native
Sagittaria calycina,AL,Native
Sagittaria chapmanii,AL,Native
Sagittaria engelmanniana,AL,Native
Sagittaria filiformis,AL,Native
Sagittaria graminea,AL,Native
Sagittaria isoetiformis,AL,Native
Sagittaria lancifolia,AL,Native
Sagittaria latifolia,AL,Native
Sagittaria platyphylla,AL,Native
Sagittaria secundifolia,AL,Native
Sagittaria subulata,AL,Native
Allium canadense,AL,Native
Allium cernuum,AL,Native
Allium cuthbertii,AL,Native
Allium speculae,AL,Native
Allium tricoccum,AL,Native
Nothoscordum bivalve,AL,Native
Liquidambar styraciflua,AL,Native
Alternanthera caracasana,AL,Native
Alternanthera pungens,AL,Native
Amaranthus albus,AL,Native
Amaranthus australis,AL,Native
Amaranthus blitoides,AL,Native
Amaranthus crassipes,AL,Native
Amaranthus palmeri,AL,Native
Amaranthus spinosus,AL,Native
Amaranthus tuberculatus,AL,Native
Atriplex mucronata,AL,Native
Celosia argentea,AL,Native
Chenopodium berlandieri,AL,Native
Chenopodium pratericola,AL,Native
Chenopodium standleyanum,AL,Native
Cycloloma atriplicifolium,AL,Native
Froelichia floridana,AL,Native
Froelichia gracilis,AL,Native
Gomphrena serrata,AL,Native
Iresine rhizomatosa,AL,Native
Salicornia bigelovii,AL,Native
Sarcocornia ambigua,AL,Native
Suaeda linearis,AL,Native
Cooperia chlorosolen,AL,Native
Crinum americanum,AL,Native
Hymenocallis choctawensis,AL,Native
Hymenocallis coronaria,AL,Native
Hymenocallis liriosme,AL,Native
Hymenocallis occidentalis,AL,Native
Zephyranthes atamasca,AL,Native
Zephyranthes grandiflora,AL,Native
Zephyranthes simpsonii,AL,Native
Cotinus obovatus,AL,Native
Rhus aromatica,AL,Native
Rhus copallinum,AL,Native
Rhus glabra,AL,Native
Rhus typhina,AL,Native
Toxicodendron pubescens,AL,Native
Toxicodendron radicans,AL,Native
