scientific_name
Abelia ×grandiflora
Abies ×shastensis
Abronia glabrifolia
Abronia ×insularis
Abutilon coahuilae
Acalypha chamaedrifolia
Acalypha herzogiana
Acalypha subviscida
Acanthoscyphus parishii
Acer ×freemanii
Achnatherum arnowiae
Achnatherum ×bloomeri
Acleisanthes angustifolia
Acleisanthes chenopodioides
Acleisanthes diffusa
Acleisanthes lanceolata
Acleisanthes nevadensis
Acleisanthes parvifolia
Acmispon americanus
Acmispon argophyllus
Acmispon argyraeus
Acmispon brachycarpus
Acmispon cytisoides
Acmispon dendroideus
Acmispon denticulatus
Acmispon glaber
Acmispon grandiflorus
Acmispon greenei
Acmispon haydonii
Acmispon heermannii
Acmispon junceus
Acmispon maritimus
Acmispon mearnsii
Acmispon micranthus
Acmispon nevadensis
Acmispon oroboides
Acmispon parviflorus
Acmispon procumbens
Acmispon prostratus
Acmispon rigidus
Acmispon rubriflorus
Acmispon strigosus
Acmispon utahensis
Acmispon wrangelianus
Acmispon wrightii
Acokanthera schimperi
Aconitum ×bicolor
Actaea ×ludovici
Adenophorus tenellus
Adenophorus ×abbottiae
Adenophorus ×carsonii
Adiantum ×tracyi
Aechmea bracteata
Aesculus ×bushii
Aesculus ×hybrida
Aesculus ×marylandica
Aesculus ×mutabilis
Aesculus ×neglecta
Aesculus ×worlitzensis
Afrocarpus mannii
Agastache rugosa
Agave verdensis
Agave yavapaiensis
Agave ×ajoensis
Agave ×arizonica
Ageratina thyrsiflora
Ageratum maritimum
Agoseris ×agrestis
Agoseris ×dasycarpa
Agoseris ×elata
Agoseris ×montana
Akebia ×pentaphylla
Albizia niopoides
Aletris ×tottenii
Aliciella cliffordii
Aliciella humillima
Aliciella monoensis
Alkekengi officinarum
Allium hollandicum
Allium ×proliferum
Allophylus cobbe
Alnus ×fallacina
Aloe striatula
Aloe ×schoenlandi
Alphitonia excelsa
Alstonia scholaris
Althaea armeniaca
Amaranthus ×texensis
Amaranthus ×tucsonensis
Amauriopsis biternata
Amauriopsis pedata
Ambrosia ×helenae
Ambrosia ×intergradiens
Ambrosia ×platyspina
Ambrosia ×sandersonii
Amelanchier intermedia
Amelanchier ×neglecta
Amelichloa brachychaeta
Amelichloa caudata
Amelichloa clandestina
Amorpha ×notha
Ampelopsis humulifolia
Amphibromus nervosus
Anarrhinum bellidifolium
Ancistrocarphus keilii
Andropogon gerardi
Anemone halleri
Angophora costata
Antennaria ×erigeroides
Antennaria ×foliacea
Antennaria ×macounii
Antennaria ×oblancifolia
Anthurium pentaphyllum
Anthurium urbani
Antiaris toxicaria
Anticlea mogollonensis
Antidesma ×kapuae
Aphelandra aurantiaca
Apocynum ×floribundum
Aquilegia desolaticola
Aquilegia holmgrenii
Arctostaphylos ×benitoensis
Arctostaphylos ×campbelliae
Arctostaphylos ×cinerea
Arctostaphylos ×coloradensis
Arctostaphylos ×helleri
Arctostaphylos ×jepsonii
Arctostaphylos ×laxiflora
Arctostaphylos ×parvifolia
Arctotheca prostrata
Arctotis fastuosa
Arctotis venusta
Arctous alpinus
Arctous ruber
Arcytophyllum fasciculatum
Ardisia escallonioides
Ardisia sieboldii
Ardisia virens
Argemone parva
Argyranthemum foeniculaceum
Argyrocytisus battandieri
Argyroxiphium ×kai
Aronia prunifolia
Artemisia albicans
Artemisia capitata
Artemisia constricta
Artemisia inaequifolia
Artemisia kruhsiana
Artemisia macarthuri
Artemisia ruthiae
Artemisia simplex
Artemisia tanacetifolia
Artemisia ×argilosa
Asimina spatulata
Asimina ×nashii
Asparagus falcatus
Aspidistra elatior
Asplenium bulbiferum
Asplenium dielerectum
Asplenium dielfalcatum
Asplenium dielmannii
Asplenium dielpallidum
Asplenium ebenoides
Asplenium peruvianum
Asplenium unisorum
Asplenium ×biscaynianum
Asplenium ×boydstoniae
Asplenium ×clermontiae
Asplenium ×curtissii
Asplenium ×flagrum
Asplenium ×gravesii
Asplenium ×herb-wagneri
Asplenium ×heteroresiliens
Asplenium ×joellaui
Asplenium ×kentuckiense
Asplenium ×kokeense
Asplenium ×morganii
Asplenium ×shawneense
Asplenium ×sphenocookii
Asplenium ×trudellii
Asplenium ×virginicum
Asplenium ×waikomoi
Asplenium ×wherryi
Astraea lobata
Astragalus asotinensis
Astragalus avonensis
Astragalus cliffordii
Astragalus heilii
Astragalus kelseyae
Astragalus mulfordae
Astragalus multiflorus
Astranthium ciliatum
Athyrium niponicum
Atocion armeria
Atrema americanum
Atriplex ×aptera
Atriplex ×neomexicana
Atriplex ×odontoptera
Austrodanthonia caespitosa
Austrodanthonia racemosa
Austrodanthonia richardsonii
Ayenia jaliscana
Bahiopsis laciniata
Bahiopsis parishii
Bahiopsis reticulata
Balsamorhiza ×bonseri
Balsamorhiza ×tomentosa
Baptisia ×bicolor
Baptisia ×deamii
Baptisia ×fulva
Baptisia ×serenae
Baptisia ×sulphurea
Baptisia ×variicolor
Barleria repens
Bassia crassifolia
Bauhinia ×blakeana
Beaumontia multiflora
Begonia fusca
Berberis ×ottawensis
Berlandiera monocephala
Berlandiera ×betonicifolia
Berlandiera ×humilis
Berlandiera ×macrophylla
Betula ×dugleana
Betula ×eastwoodiae
Betula ×hornei
Betula ×jackii
Betula ×purpusii
Betula ×raymundii
Betula ×sandbergii
Betula ×sargentii
Betula ×uliginosa
Betula ×utahensis
Betula ×winteri
Bidens ×multiceps
Bignonia aequinoctialis
Billardiera heterophylla
Billbergia nutans
Bismarckia nobilis
Boechera acutina
Boechera arcuata
Boechera atrorubens
Boechera bodiensis
Boechera breweri
Boechera calderi
Boechera californica
Boechera cascadensis
Boechera consanguinea
Boechera constancei
Boechera covillei
Boechera cusickii
Boechera davidsonii
Boechera depauperata
Boechera dispar
Boechera duchesnensis
Boechera elkoensis
Boechera evadens
Boechera falcatoria
Boechera falcifructa
Boechera fecunda
Boechera formosa
Boechera fructicosa
Boechera glareosa
Boechera glaucovalvula
Boechera gracilenta
Boechera gracilipes
Boechera harrisonii
Boechera hastatula
Boechera hoffmannii
Boechera horizontalis
Boechera howellii
Boechera inyoensis
Boechera johnstonii
Boechera koehleri
Boechera languida
Boechera lasiocarpa
Boechera lincolnensis
Boechera nevadensis
Boechera ophira
Boechera paddoensis
Boechera parishii
Boechera pauciflora
Boechera paupercula
Boechera peirsonii
Boechera pendulocarpa
Boechera pinetorum
Boechera pinzliae
Boechera platysperma
Boechera polyantha
Boechera porphyrea
Boechera pratincola
Boechera puberula
Boechera pygmaea
Boechera rectissima
Boechera rigidissima
Boechera rollei
Boechera rollinsiorum
Boechera rubicundula
Boechera saximontana
Boechera schistacea
Boechera serpentinicola
Boechera shevockii
Boechera shockleyi
Boechera spatifolia
Boechera subpinnatifida
Boechera suffrutescens
Boechera texana
Boechera tiehmii
Boechera tularensis
Boechera ultra-alsa
Boechera villosa
Boechera xylopoda
Boechera yorkii
Boerhavia ciliata
Bonellia macrocarpa
Borodinia burkii
Borodinia canadensis
Borodinia dentata
Borodinia laevigata
Borodinia missouriensis
Borodinia perstellata
Borodinia serotina
Borrichia ×cubana
Botrychium adnatum
Botrychium michiganense
Botrychium neolunaria
Botrychium ×watertonense
Brexia madagascariensis
Brodiaea sierrae
Bromus caroli-henrici
Bromus hallii
Buddleja indica
Bupleurum arcticum
Bupleurum gerardi
Calamagrostis ×acutiflora
Callaeum septentrionale
Calliandra houstoniana
Calliphysalis carpenteri
Callitriche brutia
Callitris endlicheri
Callitropsis ×leylandii
Calochortus ciscoensis
Calochortus fimbriatus
Calyptridium paniculatum
Calystegia binghamiae
Camissonia dominguez-escalantorum
Camissoniopsis bistorta
Camissoniopsis cheiranthifolia
Camissoniopsis confusa
Camissoniopsis guadalupensis
Camissoniopsis hardhamiae
Camissoniopsis hirtella
Camissoniopsis ignota
Camissoniopsis intermedia
Camissoniopsis lewisii
Camissoniopsis luciae
Camissoniopsis micrantha
Camissoniopsis pallida
Camissoniopsis robusta
Campanula cervicaria
Canna ×generalis
Cantinoa americana
Capparis mollicella
Cardamine dentata
Cardamine holmgrenii
Cardamine ×incisa
Cardiocrinum cordatum
Carduus ×orthocephalus
Carex echinodes
Carex endlichii
Carex fumosimontana
Carex laevigata
Carex waponahkikensis
Carex ×aestivaliformis
Carex ×caesariensis
Carex ×deamii
Carex ×hartii
Carex ×helvola
Carex ×kenaica
Carex ×knieskernii
Carex ×olneyi
Carex ×paludivagans
Carex ×physocarpoides
Carex ×pseudohelvola
Carex ×ruedtii
Carex ×saxenii
Carex ×subimpressa
Carex ×subviridula
Carex ×sullivantii
Carex ×trichina
Carrichtera annua
Carsonia sparsifolia
Cartrema floridana
Carya ×brownii
Carya ×collina
Carya ×demareei
Carya ×dunbarii
Carya ×laneyi
Carya ×lecontei
Carya ×nussbaumeri
Carya ×schneckii
Caryopteris ×clandonensis
Castanea ×neglecta
Castilleja gleasonii
Castilleja lindheimeri
Castilleja ×porterae
Catalpa ×erubescens
Cathestecum brevifolium
Ceanothus arcuatus
Ceanothus franklinii
Ceanothus otayensis
Ceanothus pauciflorus
Ceanothus ×bakeri
Ceanothus ×connivens
Ceanothus ×lobbianus
Ceanothus ×rugosus
Ceanothus ×serrulatus
Ceanothus ×vanrensselaeri
Ceanothus ×veitchianus
Cecropia pachystachya
Cecropia palmata
Celastrus gemmatus
Cenchrus advena
Cenchrus complanatus
Cenchrus flaccidus
Cenchrus latifolius
Cenchrus macrourus
Cenchrus orientalis
Cenchrus pedicellatus
Cenchrus petiolaris
Cenchrus setaceus
Centaurea ×kleinii
Centaurea ×moncktonii
Centaurea ×pouzinii
Centaurea ×psammogena
Cereus repandus
Chamaesaracha arida
Chamaesaracha texensis
Chaptalia carduacea
Chenopodiastrum murale
Chenopodiastrum simplex
Chenopodium ×variabile
Cherleria dicranoides
Chevreulia sarmentosa
Chloris canterae
Chloris pilosa
Chloris subdolichostachya
Chorizanthe minutiflora
Chrysanthemoides monilifera
Chrysopsis delaneyi
Chrysopsis highlandsensis
Chrysothamnus scopulorum
Chrysothamnus stylosus
Chylismia atwoodii
Chylismia brevipes
Chylismia cardiophylla
Chylismia confertiflora
Chylismia eastwoodiae
Chylismia exilis
Chylismia heterochroma
Chylismia megalantha
Chylismia multijuga
Chylismia munzii
Chylismia parryi
Chylismia scapoidea
Chylismia specicola
Chylismia walkeri
Chylismiella pterosperma
Cibotium ×heleniae
Cinnamomum iners
Circaea ×sterilis
Cirsium inamoenum
Cirsium joannae
Cirsium ×iowense
Cistus psilosepalus
Citrus ×jambhiri
Citrus ×paradisi
Cladanthus mixtus
Claytonia arkansana
Claytonia ozarkensis
Cleistesiopsis bifaria
Cleistesiopsis oricamporum
Clematis carrizoensis
Clematis ×jackmanii
Cleoserrata serrata
Cleoserrata speciosa
Clermontia ×leptoclada
Clerodendrum ×speciosum
Clethra lanata
Clinopodium calamintha
Clinopodium menthifolium
Clitoria heterophylla
Cochlearia acaulis
Collinsonia anisata
Collomia wilkenii
Condea emoryi
Condea verticillata
Conradina cygniflora
Convolvulus carrii
Copaifera ×media
Coprosma ×molokaiensis
Cordia lutea
Cornus ×arnoldiana
Cornus ×friedlanderi
Cornus ×slavinii
Corymbia torelliana
Costus dubius
Cota austriaca
Cotoneaster atropurpureus
Cotoneaster cochleatus
Cotoneaster coriaceus
Cotoneaster fangianus
Cotoneaster gamblei
Cotoneaster hjelmqvistii
Cotoneaster hodjingensis
Cotoneaster hsingshangensis
Cotoneaster magnificus
Cotoneaster mairei
Cotoneaster miniatus
Cotoneaster tengyuehensis
Cotoneaster transens
Cotoneaster vestitus
Cotoneaster villosulsus
Cotoneaster ×suecicus
Crassula colligata
Crassula tetragona
Crataegus comata
Crataegus kennedyi
Crataegus margarettae
Crataegus ×brevipes
Crataegus ×canescens
Crataegus ×disperma
Crataegus ×haemacarpa
Crataegus ×hudsonica
Crataegus ×immanis
Crataegus ×incaedua
Crataegus ×laneyi
Crataegus ×lawrencensis
Crataegus ×maligna
Crataegus ×notha
Crataegus ×peckietta
Crataegus ×pilosa
Crataegus ×puberis
Crataegus ×simulata
Crataegus ×vailiae
Crataegus ×websteri
Crataegus ×whittakeri
Crepidomanes draytonianum
Crepidomanes intricatum
Crepidomanes proliferum
Crocanthemum aldersonii
Crocanthemum greenei
Crocanthemum scoparium
Crocanthemum suffrutescens
Crocosmia ×crocosmiiflora
Crocus ×stellaris
Crotalaria berteroana
Croton bigbendensis
Croton guatemalensis
Croton heptalon
Croton setiger
Crucihimalaya bursifolia
Crucihimalaya virgata
Cryptantha dissita
Cryptantha milobakeri
Cryptantha spithamaea
Cuniculotinus gramineus
Cuphea subuligera
Cuscuta chinensis
Cuscuta draconella
Cuscuta legitima
Cuscuta liliputana
Cuscuta pacifica
Cyanea minutiflora
Cyanea pseudofauriei
Cyanea st-johnii
Cyclosorus augescens
Cyclosorus grandis
Cyclosorus hispidulus
Cyclosorus hudsonianus
Cyclosorus kunthii
Cyclosorus ovatus
Cyclosorus pendens
Cyclosorus puberulus
Cyclosorus ×intermedius
Cyclosorus ×palmeri
Cylindropuntia fosbergii
Cylindropuntia ×congesta
Cylindropuntia ×deserta
Cylindropuntia ×kelvinensis
Cylindropuntia ×multigeniculata
Cylindropuntia ×neoarbuscula
Cylindropuntia ×tetracantha
Cylindropuntia ×viridiflora
Cylindropuntia ×vivipara
Cymbidium dayanum
Cymopterus crawfordensis
Cymopterus davidsonii
Cymopterus glomeratus
Cymopterus sessiliflorus
Cynanchum gerrardii
Cynoglottis barrelieri
Cyperus albostriatus
Cyperus regiomontanus
Cyperus ×deamii
Cyperus ×mesochorus
Cypripedium ×alaskanum
Cyrtandra ×alata
Cyrtandra ×alnea
Cyrtandra ×ambigua
Cyrtandra ×atomigyna
Cyrtandra ×axilliflora
Cyrtandra ×basipartita
Cyrtandra ×carinata
Cyrtandra ×caudatisepala
Cyrtandra ×christophersenii
Cyrtandra ×cladantha
Cyrtandra ×conradtii
Cyrtandra ×crassifolia
Cyrtandra ×crassior
Cyrtandra ×cupuliformis
Cyrtandra ×ferrocolorata
Cyrtandra ×ferruginosa
Cyrtandra ×georgiana
Cyrtandra ×hillebrandii
Cyrtandra ×honolulensis
Cyrtandra ×hosakae
Cyrtandra ×kaalae
Cyrtandra ×kahanaensis
Cyrtandra ×kipahuluensis
Cyrtandra ×kipapaensis
Cyrtandra ×laevis
Cyrtandra ×malacophylla
Cyrtandra ×mannii
Cyrtandra ×nutans
Cyrtandra ×opaeulae
Cyrtandra ×pubens
Cyrtandra ×ramosissima
Cyrtandra ×rockii
Cyrtandra ×scabrella
Cyrtandra ×subintegra
Cyrtandra ×turbiniformis
Cyrtandra ×umbraculiflora
Cyrtandra ×villicalyx
Cyrtandra ×waihoiensis
Cystopteris sandwicensis
Cystopteris ×illinoensis
Cystopteris ×wagneri
Cytisus ×dallimorei
Cytisus ×praecox
Dacrycarpus imbricatus
Dactyloctenium gemminatum
Dalea arenicola
Dalea grisea
Dalea rubescens
Danaea racemosa
Davallia fejeensis
Delissea kauaiensis
Delissea takeuchii
Delissea waianaeensis
Delphinium ×confertiflorum
Delphinium ×diversicolor
Delphinium ×inflexum
Delphinium ×nutans
Delphinium ×pavonaceum
Delwiensia pattersonii
Dendrobium antennatum
Dendrobium crumenatum
Dendrobium heterocarpum
Dendrobium mirbelianum
Dendrophylax porrectus
Dermatophyllum arizonicum
Dermatophyllum gypsophilum
Dermatophyllum secundiflorum
Descurainia brevisiliqua
Descurainia kenheilii
Descurainia longepedicellata
Descurainia nelsonii
Desmodium ×humifusum
Deutzia ×magnifica
Dianella ensifolia
Diaperia verna
Dicerandra fumella
Dichelostemma ×venustum
Dichromanthus michuacanus
Dicksonia fibrosa
Dicranostegia orcuttiana
Dietes iridioides
Dimerocostus strobilaceus
