scientific_name,state_code,source,observation_count
Dromaius novaehollandiae,AL,eBird,NA
Dendrocygna eytoni,AL,eBird,NA
Dendrocygna viduata,AL,eBird,NA
Dendrocygna autumnalis,AL,eBird,NA
Dendrocygna arborea,AL,eBird,NA
Dendrocygna bicolor,AL,eBird,NA
Anser caerulescens,AL,eBird,NA
Anser rossii,AL,eBird,NA
Anser anser,AL,eBird,NA
Anser cygnoides,AL,eBird,NA
Anser albifrons,AL,eBird,NA
Branta bernicla,AL,eBird,NA
Branta leucopsis,AL,eBird,NA
Branta hutchinsii,AL,eBird,NA
Branta canadensis,AL,eBird,NA
Cygnus olor,AL,eBird,NA
Cygnus atratus,AL,eBird,NA
Cygnus buccinator,AL,eBird,NA
Cygnus columbianus,AL,eBird,NA
Alopochen aegyptiaca,AL,eBird,NA
Tadorna ferruginea,AL,eBird,NA
Cairina moschata,AL,eBird,NA
Callonetta leucophrys,AL,eBird,NA
Aix sponsa,AL,eBird,NA
Aix galericulata,AL,eBird,NA
Spatula querquedula,AL,eBird,NA
Spatula discors,AL,eBird,NA
Spatula cyanoptera,AL,eBird,NA
Spatula clypeata,AL,eBird,NA
Mareca strepera,AL,eBird,NA
Mareca penelope,AL,eBird,NA
Mareca americana,AL,eBird,NA
Anas platyrhynchos,AL,eBird,NA
Anas rubripes,AL,eBird,NA
Anas fulvigula,AL,eBird,NA
Anas bahamensis,AL,eBird,NA
Anas acuta,AL,eBird,NA
Anas crecca,AL,eBird,NA
Netta rufina,AL,eBird,NA
Netta peposaca,AL,eBird,NA
Aythya valisineria,AL,eBird,NA
Aythya americana,AL,eBird,NA
Aythya collaris,AL,eBird,NA
Aythya marila,AL,eBird,NA
Aythya affinis,AL,eBird,NA
Histrionicus histrionicus,AL,eBird,NA
Melanitta perspicillata,AL,eBird,NA
Melanitta deglandi,AL,eBird,NA
Melanitta americana,AL,eBird,NA
Clangula hyemalis,AL,eBird,NA
Bucephala albeola,AL,eBird,NA
Bucephala clangula,AL,eBird,NA
Lophodytes cucullatus,AL,eBird,NA
Mergus merganser,AL,eBird,NA
Mergus serrator,AL,eBird,NA
Oxyura jamaicensis,AL,eBird,NA
Numida meleagris,AL,eBird,NA
Colinus virginianus,AL,eBird,NA
Callipepla californica,AL,eBird,NA
Meleagris gallopavo,AL,eBird,NA
Bonasa umbellus,AL,eBird,NA
Phasianus colchicus,AL,eBird,NA
Pavo cristatus,AL,eBird,NA
Gallus gallus,AL,eBird,NA
Alectoris chukar,AL,eBird,NA
Columba livia,AL,eBird,NA
Patagioenas leucocephala,AL,eBird,NA
Patagioenas fasciata,AL,eBird,NA
Ectopistes migratorius,AL,eBird,NA
Streptopelia decaocto,AL,eBird,NA
Streptopelia roseogrisea,AL,eBird,NA
Columbina inca,AL,eBird,NA
Columbina passerina,AL,eBird,NA
Zenaida asiatica,AL,eBird,NA
Zenaida macroura,AL,eBird,NA
Crotophaga sulcirostris,AL,eBird,NA
Coccyzus americanus,AL,eBird,NA
Coccyzus minor,AL,eBird,NA
Coccyzus erythropthalmus,AL,eBird,NA
Chordeiles acutipennis,AL,eBird,NA
Chordeiles minor,AL,eBird,NA
Antrostomus carolinensis,AL,eBird,NA
Antrostomus vociferus,AL,eBird,NA
Cypseloides niger,AL,eBird,NA
Chaetura pelagica,AL,eBird,NA
Chaetura vauxi,AL,eBird,NA
Colibri thalassinus,AL,eBird,NA
Eugenes fulgens,AL,eBird,NA
Lampornis clemenciae,AL,eBird,NA
Archilochus colubris,AL,eBird,NA
Archilochus alexandri,AL,eBird,NA
Calypte anna,AL,eBird,NA
Calypte costae,AL,eBird,NA
Selasphorus calliope,AL,eBird,NA
Selasphorus rufus,AL,eBird,NA
Selasphorus sasin,AL,eBird,NA
Selasphorus platycercus,AL,eBird,NA
Cynanthus latirostris,AL,eBird,NA
Basilinna leucotis,AL,eBird,NA
Amazilia yucatanensis,AL,eBird,NA
Rallus elegans,AL,eBird,NA
Rallus crepitans,AL,eBird,NA
Rallus limicola,AL,eBird,NA
Porzana carolina,AL,eBird,NA
Gallinula galeata,AL,eBird,NA
Fulica americana,AL,eBird,NA
Porphyrio martinica,AL,eBird,NA
Coturnicops noveboracensis,AL,eBird,NA
Laterallus jamaicensis,AL,eBird,NA
Aramus guarauna,AL,eBird,NA
Antigone canadensis,AL,eBird,NA
Grus americana,AL,eBird,NA
Himantopus mexicanus,AL,eBird,NA
Recurvirostra americana,AL,eBird,NA
Haematopus palliatus,AL,eBird,NA
Pluvialis squatarola,AL,eBird,NA
Pluvialis dominica,AL,eBird,NA
Charadrius vociferus,AL,eBird,NA
Charadrius semipalmatus,AL,eBird,NA
Charadrius melodus,AL,eBird,NA
Anarhynchus wilsonia,AL,eBird,NA
Anarhynchus montanus,AL,eBird,NA
Anarhynchus nivosus,AL,eBird,NA
Bartramia longicauda,AL,eBird,NA
Numenius hudsonicus,AL,eBird,NA
Numenius americanus,AL,eBird,NA
Limosa haemastica,AL,eBird,NA
Limosa fedoa,AL,eBird,NA
Limnodromus griseus,AL,eBird,NA
Limnodromus scolopaceus,AL,eBird,NA
Scolopax minor,AL,eBird,NA
Gallinago delicata,AL,eBird,NA
Phalaropus tricolor,AL,eBird,NA
Phalaropus fulicarius,AL,eBird,NA
Phalaropus lobatus,AL,eBird,NA
Actitis macularius,AL,eBird,NA
Tringa solitaria,AL,eBird,NA
Tringa flavipes,AL,eBird,NA
Tringa semipalmata,AL,eBird,NA
Tringa melanoleuca,AL,eBird,NA
Arenaria interpres,AL,eBird,NA
Calidris canutus,AL,eBird,NA
Calidris pugnax,AL,eBird,NA
Calidris acuminata,AL,eBird,NA
Calidris ferruginea,AL,eBird,NA
Calidris himantopus,AL,eBird,NA
Calidris subruficollis,AL,eBird,NA
Calidris alba,AL,eBird,NA
Calidris alpina,AL,eBird,NA
Calidris maritima,AL,eBird,NA
Calidris bairdii,AL,eBird,NA
Calidris fuscicollis,AL,eBird,NA
Calidris minutilla,AL,eBird,NA
Calidris melanotos,AL,eBird,NA
Calidris mauri,AL,eBird,NA
Calidris pusilla,AL,eBird,NA
Stercorarius longicaudus,AL,eBird,NA
Stercorarius parasiticus,AL,eBird,NA
Stercorarius pomarinus,AL,eBird,NA
Stercorarius maccormicki,AL,eBird,NA
Alca torda,AL,eBird,NA
Hydrocoloeus minutus,AL,eBird,NA
Rissa tridactyla,AL,eBird,NA
Pagophila eburnea,AL,eBird,NA
Xema sabini,AL,eBird,NA
Chroicocephalus philadelphia,AL,eBird,NA
Leucophaeus modestus,AL,eBird,NA
Leucophaeus atricilla,AL,eBird,NA
Leucophaeus pipixcan,AL,eBird,NA
Larus delawarensis,AL,eBird,NA
Larus smithsonianus,AL,eBird,NA
Larus marinus,AL,eBird,NA
Larus hyperboreus,AL,eBird,NA
Larus fuscus,AL,eBird,NA
Larus californicus,AL,eBird,NA
Larus glaucescens,AL,eBird,NA
Larus glaucoides,AL,eBird,NA
Rynchops niger,AL,eBird,NA
Anous stolidus,AL,eBird,NA
Onychoprion fuscatus,AL,eBird,NA
Onychoprion anaethetus,AL,eBird,NA
Sternula antillarum,AL,eBird,NA
Gelochelidon nilotica,AL,eBird,NA
Hydroprogne caspia,AL,eBird,NA
Chlidonias niger,AL,eBird,NA
Sterna forsteri,AL,eBird,NA
Sterna paradisaea,AL,eBird,NA
Sterna hirundo,AL,eBird,NA
Sterna dougallii,AL,eBird,NA
Thalasseus sandvicensis,AL,eBird,NA
Thalasseus maximus,AL,eBird,NA
Phoenicopterus ruber,AL,eBird,NA
Podilymbus podiceps,AL,eBird,NA
Podiceps auritus,AL,eBird,NA
Podiceps grisegena,AL,eBird,NA
Podiceps nigricollis,AL,eBird,NA
Aechmophorus occidentalis,AL,eBird,NA
Phaethon aethereus,AL,eBird,NA
Gavia stellata,AL,eBird,NA
Gavia pacifica,AL,eBird,NA
Gavia immer,AL,eBird,NA
Oceanites oceanicus,AL,eBird,NA
Hydrobates leucorhous,AL,eBird,NA
Hydrobates castro,AL,eBird,NA
Pterodroma hasitata,AL,eBird,NA
