scientific_name,state_code,observation_count,source
Abablemma bilineata,TX,72,GBIF
Abablemma brimleyana,AL,13,GBIF
Abablemma brimleyana,AR,2,GBIF
Abablemma brimleyana,DE,8,GBIF
Abablemma brimleyana,FL,29,GBIF
Abablemma brimleyana,GA,10,GBIF
Abablemma brimleyana,LA,13,GBIF
Abablemma brimleyana,MD,14,GBIF
Abablemma brimleyana,MS,3,GBIF
Abablemma brimleyana,NC,30,GBIF
Abablemma brimleyana,NJ,123,GBIF
Abablemma brimleyana,SC,15,GBIF
Abablemma brimleyana,TN,3,GBIF
Abablemma brimleyana,TX,81,GBIF
Abablemma brimleyana,VA,4,GBIF
Abablemma duomaculata,TX,143,GBIF
Abacena mundula,AR,2,GBIF
Abacena mundula,FL,1,GBIF
Abacena mundula,GA,1,GBIF
Abacena mundula,KS,1,GBIF
Abacena mundula,LA,2,GBIF
Abacena mundula,OK,25,GBIF
Abacena mundula,TX,469,GBIF
Abaeis boisduvaliana,TX,1,GBIF
Abaeis mexicana,AZ,17,GBIF
Abaeis mexicana,CO,2,GBIF
Abaeis mexicana,OK,3,GBIF
Abaeis nicippe,AL,1157,GBIF
Abaeis nicippe,AR,403,GBIF
Abaeis nicippe,AZ,3086,GBIF
Abaeis nicippe,CA,425,GBIF
Abaeis nicippe,CO,34,GBIF
Abaeis nicippe,CT,4,GBIF
Abaeis nicippe,DC,48,GBIF
Abaeis nicippe,DE,64,GBIF
Abaeis nicippe,FL,1368,GBIF
Abaeis nicippe,GA,1426,GBIF
Abaeis nicippe,HI,265,GBIF
Abaeis nicippe,IA,19,GBIF
Abaeis nicippe,IL,110,GBIF
Abaeis nicippe,IN,27,GBIF
Abaeis nicippe,KS,102,GBIF
Abaeis nicippe,KY,74,GBIF
Abaeis nicippe,LA,282,GBIF
Abaeis nicippe,MD,991,GBIF
Abaeis nicippe,MI,1,GBIF
Abaeis nicippe,MN,2,GBIF
Abaeis nicippe,MO,180,GBIF
Abaeis nicippe,MS,234,GBIF
Abaeis nicippe,NC,1783,GBIF
Abaeis nicippe,ND,4,GBIF
Abaeis nicippe,NE,19,GBIF
Abaeis nicippe,NJ,176,GBIF
Abaeis nicippe,NM,692,GBIF
Abaeis nicippe,NV,50,GBIF
Abaeis nicippe,OH,182,GBIF
Abaeis nicippe,OK,224,GBIF
Abaeis nicippe,PA,148,GBIF
Abaeis nicippe,RI,3,GBIF
Abaeis nicippe,SC,2215,GBIF
Abaeis nicippe,TN,731,GBIF
Abaeis nicippe,TX,9318,GBIF
Abaeis nicippe,UT,7,GBIF
Abaeis nicippe,VA,1512,GBIF
Abaeis nicippe,WI,9,GBIF
Abaeis nicippe,WV,55,GBIF
Abagrotis alampeta,AZ,11,GBIF
Abagrotis alampeta,NM,38,GBIF
Abagrotis alternata,AL,9,GBIF
Abagrotis alternata,AR,6,GBIF
Abagrotis alternata,AZ,1,GBIF
Abagrotis alternata,CO,3,GBIF
Abagrotis alternata,CT,45,GBIF
Abagrotis alternata,DE,18,GBIF
Abagrotis alternata,GA,6,GBIF
Abagrotis alternata,IA,1,GBIF
Abagrotis alternata,IL,17,GBIF
Abagrotis alternata,IN,11,GBIF
Abagrotis alternata,KY,4,GBIF
Abagrotis alternata,LA,1,GBIF
