"scientific_name","common_name","state_code","species_id","source_url"
"Pinus ponderosa","ponderosa pine",NA,"2217","https://www.invasiveplantatlas.org/subject.cfm?sub=2217"
"Juniperus virginiana","eastern redcedar","WI","2259","https://www.invasiveplantatlas.org/subject.cfm?sub=2259"
"Juniperus virginiana","eastern redcedar","OR","2259","https://www.invasiveplantatlas.org/subject.cfm?sub=2259"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","AL","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","MI","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","CT","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","FL","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","GA","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","KY","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","MD","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","OR","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","NH","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","OH","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","WA","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","ID","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","DE","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","NJ","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","NY","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","PA","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","VA","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","WV","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","DC","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","SC","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Pueraria montana var. lobata (Willd.) Maesen &","kudzu","TN","2425","https://www.invasiveplantatlas.org/subject.cfm?sub=2425"
"Paulownia tomentosa  (Thunb.)","princesstree","AL","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","PA","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","CT","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","GA","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","KY","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","OR","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","NH","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","VA","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","OH","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","DE","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","MD","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","NJ","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","NY","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","WV","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","DC","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","WA","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","RI","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","SC","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Paulownia tomentosa  (Thunb.)","princesstree","TN","2426","https://www.invasiveplantatlas.org/subject.cfm?sub=2426"
"Imperata cylindrica  (L.)","cogongrass","AL","2433","https://www.invasiveplantatlas.org/subject.cfm?sub=2433"
"Imperata cylindrica  (L.)","cogongrass","FL","2433","https://www.invasiveplantatlas.org/subject.cfm?sub=2433"
"Imperata cylindrica  (L.)","cogongrass","GA","2433","https://www.invasiveplantatlas.org/subject.cfm?sub=2433"
"Imperata cylindrica  (L.)","cogongrass","VA","2433","https://www.invasiveplantatlas.org/subject.cfm?sub=2433"
"Imperata cylindrica  (L.)","cogongrass","SC","2433","https://www.invasiveplantatlas.org/subject.cfm?sub=2433"
"Imperata cylindrica  (L.)","cogongrass","TN","2433","https://www.invasiveplantatlas.org/subject.cfm?sub=2433"
"Solanum viarum  Dunal","tropical soda apple","AL","2446","https://www.invasiveplantatlas.org/subject.cfm?sub=2446"
"Solanum viarum  Dunal","tropical soda apple","FL","2446","https://www.invasiveplantatlas.org/subject.cfm?sub=2446"
"Solanum viarum  Dunal","tropical soda apple","GA","2446","https://www.invasiveplantatlas.org/subject.cfm?sub=2446"
"Solanum viarum  Dunal","tropical soda apple","TN","2446","https://www.invasiveplantatlas.org/subject.cfm?sub=2446"
"Solanum viarum  Dunal","tropical soda apple","VA","2446","https://www.invasiveplantatlas.org/subject.cfm?sub=2446"
"Phelipanche aegyptiaca  (Pers.) Pomel","Egyptian broomrape","CA","2447","https://www.invasiveplantatlas.org/subject.cfm?sub=2447"
"Orobanche minor  Smith","small broomrape","GA","2450","https://www.invasiveplantatlas.org/subject.cfm?sub=2450"
"Orobanche minor  Smith","small broomrape","OR","2450","https://www.invasiveplantatlas.org/subject.cfm?sub=2450"
"Orobanche minor  Smith","small broomrape","WA","2450","https://www.invasiveplantatlas.org/subject.cfm?sub=2450"
"Orobanche minor  Smith","small broomrape","ID","2450","https://www.invasiveplantatlas.org/subject.cfm?sub=2450"
"Pseudotsuga menziesii  (Mirbel) Franco","Douglas-fir",NA,"2735","https://www.invasiveplantatlas.org/subject.cfm?sub=2735"
"Populus tremuloides","quaking aspen","WI","2758","https://www.invasiveplantatlas.org/subject.cfm?sub=2758"
"Pinus strobus","eastern white pine",NA,"2762","https://www.invasiveplantatlas.org/subject.cfm?sub=2762"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","AL","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","CA","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","FL","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","GA","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","KY","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","VA","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","SC","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","TN","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Alternanthera philoxeroides  (Mart.)","alligatorweed","WV","2779","https://www.invasiveplantatlas.org/subject.cfm?sub=2779"
"Melaleuca quinquenervia  (Cav.) Blake","melaleuca","FL","2783","https://www.invasiveplantatlas.org/subject.cfm?sub=2783"
"Melaleuca quinquenervia  (Cav.) Blake","melaleuca","WA","2783","https://www.invasiveplantatlas.org/subject.cfm?sub=2783"
"Salvinia molesta","giant salvinia","AL","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","CA","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","CT","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","GA","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","NH","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","DE","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","MD","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","NJ","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","NY","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","PA","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
"Salvinia molesta","giant salvinia","VA","2785","https://www.invasiveplantatlas.org/subject.cfm?sub=2785"
