scientific_name,source
Abablemma bilineata,GBIF
Abablemma brimleyana,GBIF
Abablemma duomaculata,GBIF
Abacena mundula,GBIF
Abaeis boisduvaliana,GBIF
Abaeis mexicana,GBIF
Abaeis nicippe,GBIF
Abagrotis alampeta,GBIF
Abagrotis apposita,GBIF
Abagrotis baueri,GBIF
Abagrotis bimarginalis,GBIF
Abagrotis brunneipennis,GBIF
Abagrotis denticulata,GBIF
Abagrotis dickeli,GBIF
Abagrotis discoidalis,GBIF
Abagrotis dodi,GBIF
Abagrotis duanca,GBIF
Abagrotis erratica,GBIF
Abagrotis forbesi,GBIF
Abagrotis glenni,GBIF
Abagrotis hennei,GBIF
Abagrotis hermina,GBIF
Abagrotis kirkwoodi,GBIF
Abagrotis mexicana,GBIF
Abagrotis mirabilis,GBIF
Abagrotis nanalis,GBIF
Abagrotis nefascia,GBIF
Abagrotis petalama,GBIF
Abagrotis pulchrata,GBIF
Abagrotis reedi,GBIF
Abagrotis rubricundis,GBIF
Abagrotis scopeops,GBIF
Abagrotis striata,GBIF
Abagrotis trigona,GBIF
Abagrotis turbulenta,GBIF
Abagrotis variata,GBIF
Abagrotis vittifrons,GBIF
Abegesta concha,GBIF
Abegesta reluctalis,GBIF
Abegesta remellalis,GBIF
Abrenthia cuprea,GBIF
Abrostola microvalis,GBIF
Abrostola ovalis,GBIF
Abrostola parvula,GBIF
Abrostola urentis,GBIF
Acallis alticolalis,GBIF
Acallis gripalis,GBIF
Acalyptris bicornutus,GBIF
Acalyptris bipinnatellus,GBIF
Acalyptris lotella,GBIF
Acalyptris tenuijuxtus,GBIF
Acalyptris thoracealbella,GBIF
Acanthopteroctetes aurulenta,GBIF
Acanthopteroctetes bimaculata,GBIF
Acanthopteroctetes unifascia,GBIF
Acanthotoca graefii,GBIF
Accipiter nisus,eBird
Accipiter striatus,eBird
Acentria ephemerella,GBIF
Acerra normalis,GBIF
Achaea echo,GBIF
Achaea janata,GBIF
Achalarus albociliatus,GBIF
Achalarus casica,GBIF
Achalarus jalapus,GBIF
Achalarus toxeus,GBIF
Achatia confusa,GBIF
Achatia evicta,GBIF
Achatia latex,GBIF
Achatia mucens,GBIF
Acherdoa ferraria,GBIF
Achlyodes busirus,GBIF
Achlyodes pallida,GBIF
Achlyodes thraso,GBIF
Achroia grisella,GBIF
Achyra bifidalis,GBIF
Achyra occidentalis,GBIF
Acleris aenigmana,GBIF
Acleris albinvia,GBIF
Acleris arcticana,GBIF
Acleris bergmanniana,GBIF
Acleris bowmanana,GBIF
Acleris britannia,GBIF
Acleris busckana,GBIF
Acleris caliginosana,GBIF
Acleris comandrana,GBIF
Acleris cornana,GBIF
Acleris curvalana,GBIF
Acleris effractana,GBIF
Acleris emargana,GBIF
Acleris ferrugana,GBIF
Acleris foliana,GBIF
Acleris forsskaleana,GBIF
Acleris gloveranus,GBIF
Acleris holmiana,GBIF
Acleris inana,GBIF
Acleris keiferi,GBIF
Acleris lipsiana,GBIF
Acleris obtusana,GBIF
Acleris paracinderella,GBIF
Acleris placidana,GBIF
Acleris ptychogrammos,GBIF
Acleris rhombana,GBIF
Acleris santacrucis,GBIF
Acleris senescens,GBIF
Acleris simpliciana,GBIF
Acleris stadiana,GBIF
Acleris youngana,GBIF
Acleris zimmermani,GBIF
Aclytia heber,GBIF
Acolasis bibitrix,GBIF
Acoloithus falsarius,GBIF
Acoloithus novaricus,GBIF
Acoloithus rectarius,GBIF
Acontia abdominalis,GBIF
Acontia acutus,GBIF
