"zone","raw_name","light"
"Front Island Garden","Mertensia virginica","Part Shade"
"Front Island Garden","Cercis canadensis","Full Sun-Part Shade"
"Front Island Garden","Epimedium grandiflorum 'Lilafee'","Part Shade"
"Front Island Garden","Lonicera caerulea 'Aurora' & 'Borealis'","Full Sun-Part Shade"
"Front Island Garden","Silene caroliniana","Full Sun"
"Front Island Garden","Uvularia grandiflora","Part Shade"
"Front Island Garden","Heuchera sanguinea 'Bressingham Hybrids'","Part Shade"
"Front Island Garden","Iris 'Paprika Fono's'","Full Sun"
"Front Island Garden","Iris [light blue]","Full Sun"
"Front Island Garden","Iris [violet]","Full Sun"
"Front Island Garden","Maianthemum stellatum","Part-Full Shade"
"Front Island Garden","Sisyrinchium angustifolium","Full Sun"
"Front Island Garden","Taenidia integerrima","Full Sun-Part Shade"
"Front Island Garden","Achillea filipendulina","Full Sun"
"Front Island Garden","Ruellia humilis","Full Sun-Part Shade"
"Front Island Garden","Delphinium exaltatum","Part Shade"
"Front Island Garden","Lilium lancifolium 'Orange'","Full Sun-Part Shade"
"Front Island Garden","Artemisia dracunculus","Full Sun"
"Front Island Garden","Liatris aspera","Full Sun"
"Front Island Garden","Solidago caesia","Part Shade"
"Front Island Garden","Symphyotrichum novae-angliae 'Purple Dome'","Full Sun"
"Front Island Garden","Gentiana andrewsii","Part Shade"
"Front Island Garden","Athyrium filix-femina","Part-Full Shade"
"Front Island Garden","Chamaecyparis pisifera 'Golden Mop'","Full Sun"
"Living-Room Garden","Dodecatheon meadia","Part Shade"
"Living-Room Garden","Phlox bifida","Full Sun"
"Living-Room Garden","Prunus cerasus ‘Balaton’","Full Sun"
"Living-Room Garden","Silene virginica","Part Shade"
"Living-Room Garden","Azalea 'Girard's Renee Michelle'","Part Shade"
"Living-Room Garden","Baptisia australis","Full Sun"
"Living-Room Garden","Geranium sanguineum 'Album'","Full Sun-Part Shade"
"Living-Room Garden","Iris sibirica 'Little White' (dwarf Siberian iris)","Full Sun-Part Shade"
"Living-Room Garden","Penstemon pallidus","Full Sun"
"Living-Room Garden","Scutellaria ovata","Part Shade"
"Living-Room Garden","Spigelia marilandica","Part Shade"
"Living-Room Garden","Tradescantia virginiana 'Zwanenburg Blue'","Full Sun-Part Shade"
"Living-Room Garden","Viburnum dentatum 'Christom' BLUE MUFFIN","Full Sun-Part Shade"
"Living-Room Garden","Achillea millefolium 'Colorado'","Full Sun"
"Living-Room Garden","Callirhoe bushii","Full Sun"
"Living-Room Garden","Filipendula vulgaris","Full Sun-Part Shade"
"Living-Room Garden","Itea virginica 'Sprich' LITTLE HENRY","Full Sun-Part Shade"
"Living-Room Garden","Leucanthemum x superbum 'Becky'","Full Sun"
"Living-Room Garden","Salvia nemorosa 'New Dimension Blue'","Full Sun"
"Living-Room Garden","Hosta undulata 'Albo-Marginata' (variegated wavy hosta)","Part Shade-Shade"
"Living-Room Garden","Monarda didyma 'Gardenview Scarlet'","Full Sun-Part Shade"
"Living-Room Garden","Rudbeckia subtomentosa","Full Sun"
"Living-Room Garden","Salvia guaranitica 'Black and Blue'","Full Sun"
"Living-Room Garden","Scutellaria incana","Full Sun-Part Shade"
"Living-Room Garden","Silene regia","Full Sun"
"Living-Room Garden","Symphyotrichum oolentangiense","Full Sun"
"Living-Room Garden","Taxus wardi","Part Shade-Shade"
"Shade Garden (Rear)","Mertensia virginica","Part Shade"
"Shade Garden (Rear)","Sanguinaria canadensis","Part-Full Shade"
"Shade Garden (Rear)","Brunnera macrophylla (Siberian Bugloss)","Part Shade"
"Shade Garden (Rear)","Caulophyllum thalictroides","Part-Full Shade"
"Shade Garden (Rear)","Dicentra (bleeding heart) 'Luxuriant'","Part Shade"
